timestamp	pids	cpu_pct	rss_gb	system_mem_mb
2026-09-25T02:44:22+00:00	1412622,1412625,1417681,1430853,1430885,1430917,1430949	3011.8	9.908	7357
2026-09-25T02:44:53+00:00	1412622,1412625,1417681,1431257,1431289,1431321,1431353	3012.6	8.959	6468
2026-09-25T02:45:23+00:00	1412622,1412625,1417681,1431665,1431697,1431729,1431761	3070.4	7.189	3627
2026-09-25T02:45:53+00:00	1412622,1412625,1417681,1431899,1431931,1431963,1431995	3013.3	8.524	6074
2026-09-25T02:46:23+00:00	1412622,1412625,1417681,1432628,1432660,1432692,1432724	3018.1	9.293	6653
2026-09-25T02:46:53+00:00	1412622,1412625,1417681,1432889,1432921,1432953,1432985	3013.0	7.483	5036
2026-09-25T02:47:23+00:00	1412622,1412625,1417681,1433264,1433296,1433328,1433360	3015.6	7.308	4940
2026-09-25T02:47:53+00:00	1412622,1412625,1417681,1433417,1433461,1433497,1433529	3014.9	9.575	7188
2026-09-25T02:48:23+00:00	1412622,1412625,1417681,1434225,1434257,1434289,1434321	3015.9	8.939	6532
2026-09-25T02:48:53+00:00	1412622,1412625,1417681,1434374,1434406,1434438,1434470	3014.8	7.441	5004
2026-09-25T02:49:23+00:00	1412622,1412625,1417681,1434857,1434889,1434921,1434953	3015.4	7.393	4863
2026-09-25T02:49:53+00:00	1412622,1412625,1417681,1435232,1435264,1435296,1435328	3025.8	8.409	5168
2026-09-25T02:50:23+00:00	1412622,1412625,1417681,1435792,1435824,1435856,1435888	3016.2	10.109	7717
2026-09-25T02:50:53+00:00	1412622,1412625,1417681,1436349,1436381,1436413,1436445	3019.5	8.456	5480
2026-09-25T02:51:23+00:00	1412622,1412625,1417681,1436500,1436532,1436564,1436596	3016.0	7.213	4725
2026-09-25T02:51:53+00:00	1412622,1412625,1417681,1436956,1436988,1437020,1437052	3018.4	8.022	5667
2026-09-25T02:52:23+00:00	1412622,1412625,1417681,1437463,1437495,1437527,1437559	3016.8	10.001	7677
2026-09-25T02:52:54+00:00	1412622,1412625,1417681,1437838,1437870,1437902,1437934	3017.6	9.700	7305
2026-09-25T02:53:24+00:00	1412622,1412625,1417681,1438284,1438316,1438348,1438380	3016.8	7.461	5026
