INFO:root:Start SimCLR training for 200 epochs.
INFO:root:kmer_len:	136

DEBUG:root:Epoch: 67	Loss: 3.0288822650909424	Top1 accuracy: 96.40625
DEBUG:root:Epoch: 68	Loss: 3.042813539505005	Top1 accuracy: 95.93098449707031
DEBUG:root:Epoch: 69	Loss: 3.037548780441284	Top1 accuracy: 96.48762512207031
DEBUG:root:Epoch: 70	Loss: 3.040663003921509	Top1 accuracy: 96.19791412353516
DEBUG:root:Epoch: 71	Loss: 3.0457746982574463	Top1 accuracy: 96.02213287353516
DEBUG:root:Epoch: 72	Loss: 3.0474014282226562	Top1 accuracy: 95.478515625
DEBUG:root:Epoch: 73	Loss: 3.0169968605041504	Top1 accuracy: 96.552734375
DEBUG:root:Epoch: 74	Loss: 3.037083625793457	Top1 accuracy: 96.640625
DEBUG:root:Epoch: 75	Loss: 3.0411553382873535	Top1 accuracy: 96.650390625
DEBUG:root:Epoch: 76	Loss: 3.0537970066070557	Top1 accuracy: 96.34439849853516
DEBUG:root:Epoch: 77	Loss: 3.0311567783355713	Top1 accuracy: 96.47785949707031
DEBUG:root:Epoch: 78	Loss: 3.0159690380096436	Top1 accuracy: 96.15234375
DEBUG:root:Epoch: 79	Loss: 3.0217769145965576	Top1 accuracy: 96.796875
DEBUG:root:Epoch: 80	Loss: 3.04201078414917	Top1 accuracy: 96.15559387207031
DEBUG:root:Epoch: 81	Loss: 3.002840757369995	Top1 accuracy: 97.08332824707031
DEBUG:root:Epoch: 82	Loss: 3.0297048091888428	Top1 accuracy: 96.61457824707031
DEBUG:root:Epoch: 83	Loss: 3.0104777812957764	Top1 accuracy: 97.060546875
DEBUG:root:Epoch: 84	Loss: 3.0010716915130615	Top1 accuracy: 96.86848449707031
DEBUG:root:Epoch: 85	Loss: 3.013496160507202	Top1 accuracy: 96.77082824707031
DEBUG:root:Epoch: 86	Loss: 3.017180919647217	Top1 accuracy: 96.962890625
DEBUG:root:Epoch: 87	Loss: 2.968163251876831	Top1 accuracy: 97.50325012207031
DEBUG:root:Epoch: 88	Loss: 3.0032811164855957	Top1 accuracy: 96.89453125
DEBUG:root:Epoch: 89	Loss: 3.014411449432373	Top1 accuracy: 96.767578125
DEBUG:root:Epoch: 90	Loss: 2.9917495250701904	Top1 accuracy: 97.294921875
DEBUG:root:Epoch: 91	Loss: 2.9612932205200195	Top1 accuracy: 97.59765625
DEBUG:root:Epoch: 92	Loss: 2.9849536418914795	Top1 accuracy: 97.18424224853516
DEBUG:root:Epoch: 93	Loss: 2.987255096435547	Top1 accuracy: 96.61783599853516
DEBUG:root:Epoch: 94	Loss: 3.0060198307037354	Top1 accuracy: 96.69596099853516
DEBUG:root:Epoch: 95	Loss: 2.999321222305298	Top1 accuracy: 96.943359375
DEBUG:root:Epoch: 96	Loss: 2.9683241844177246	Top1 accuracy: 97.38932037353516
DEBUG:root:Epoch: 97	Loss: 2.9820058345794678	Top1 accuracy: 97.22981262207031
DEBUG:root:Epoch: 98	Loss: 2.9792966842651367	Top1 accuracy: 97.36002349853516
DEBUG:root:Epoch: 99	Loss: 2.9496660232543945	Top1 accuracy: 97.63996887207031
DEBUG:root:Epoch: 100	Loss: 2.9607882499694824	Top1 accuracy: 97.25910949707031
DEBUG:root:Epoch: 101	Loss: 2.955702781677246	Top1 accuracy: 97.80924224853516
DEBUG:root:Epoch: 102	Loss: 2.9766361713409424	Top1 accuracy: 97.16145324707031
DEBUG:root:Epoch: 103	Loss: 2.9655301570892334	Top1 accuracy: 97.490234375
DEBUG:root:Epoch: 104	Loss: 2.9645326137542725	Top1 accuracy: 97.587890625
DEBUG:root:Epoch: 105	Loss: 2.970909833908081	Top1 accuracy: 97.48697662353516
DEBUG:root:Epoch: 106	Loss: 2.9545936584472656	Top1 accuracy: 97.95572662353516
DEBUG:root:Epoch: 107	Loss: 2.9712157249450684	Top1 accuracy: 97.62043762207031
DEBUG:root:Epoch: 108	Loss: 2.972137451171875	Top1 accuracy: 97.77668762207031
DEBUG:root:Epoch: 109	Loss: 2.9473090171813965	Top1 accuracy: 98.08918762207031
DEBUG:root:Epoch: 110	Loss: 2.9370787143707275	Top1 accuracy: 97.78645324707031
DEBUG:root:Epoch: 111	Loss: 2.9446539878845215	Top1 accuracy: 97.63346099853516
DEBUG:root:Epoch: 112	Loss: 2.9383091926574707	Top1 accuracy: 98.056640625
